Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "transferFrom(address,address,uint256) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
constructor() returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
approve(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
increaseAllowance(address,uint256) returns(bool)
decreaseAllowance(address,uint256) returns(bool)
isExcludedFromReward(address) returns(bool)
totalFees() returns(uint256)
deliver(uint256) returns()
reflectionFromToken(uint256,bool) returns(uint256)
tokenFromReflection(uint256) returns(uint256)
excludeFromReward(address) returns()
includeInReward(address) returns()
excludeFromFee(address) returns()
includeInFee(address) returns()
setTaxFeePercent(uint256) returns()
setDevelopmentFeePercent(uint256) returns()
setLiquidityFeePercent(uint256) returns()
setMaxTxPercent(uint256) returns()
setSwapAndLiquifyEnabled(bool) returns()
receive() returns()
isExcludedFromFee(address) returns(bool)
swapAndLiquifyEnabled() returns(bool)
_maxTxAmount() returns(uint256)
uniswapV2Router() returns(IUniswapV2Router02)
_liquidityFee() returns(uint256)
_taxFee() returns(uint256)
_developmentFee() returns(uint256)
uniswapV2Pair() returns(address)
"""
