Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "approve(address,uint256) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
approve(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
increaseAllowance(address,uint256) returns(bool)
decreaseAllowance(address,uint256) returns(bool)
constructor() returns()
receive() returns()
enableTrading() returns()
removeLimits() returns(bool)
disableTransferDelay() returns(bool)
updateSwapTokensAtAmount(uint256) returns(bool)
updateMaxTxnAmount(uint256) returns()
updateMaxWalletAmount(uint256) returns()
excludeFromMaxTransaction(address,bool) returns()
updateSwapEnabled(bool) returns()
updateBuyFees(uint256,uint256,uint256,uint256) returns()
updateSellFees(uint256,uint256,uint256,uint256) returns()
excludeFromFees(address,bool) returns()
setAutomatedMarketMakerPair(address,bool) returns()
isExcludedFromFees(address) returns(bool)
maxWallet() returns(uint256)
buyDevelopmentFee() returns(uint256)
limitsInEffect() returns(bool)
sellTotalFees() returns(uint256)
transferDelayEnabled() returns(bool)
swapEnabled() returns(bool)
deadAddress() returns(address)
_isExcludedMaxTransactionAmount(address) returns(bool)
tokensForLiquidity() returns(uint256)
uniswapV2Pair() returns(address)
tokensForDevelopment() returns(uint256)
buyMarketingFee() returns(uint256)
marketingWallet() returns(address)
buyDevFee() returns(uint256)
buyLiquidityFee() returns(uint256)
swapTokensAtAmount() returns(uint256)
tradingActive() returns(bool)
developmentWallet() returns(address)
maxTransactionAmount() returns(uint256)
tokensForDev() returns(uint256)
uniswapV2Router() returns(IUniswapV2Router02)
automatedMarketMakerPairs(address) returns(bool)
devWallet() returns(address)
buyTotalFees() returns(uint256)
tokensForMarketing() returns(uint256)
sellDevFee() returns(uint256)
sellLiquidityFee() returns(uint256)
sellDevelopmentFee() returns(uint256)
sellMarketingFee() returns(uint256)
"""
