Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "decimals() returns(uint8)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
approve(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
increaseAllowance(address,uint256) returns(bool)
decreaseAllowance(address,uint256) returns(bool)
constructor() returns()
receive() returns()
updateMaxBuyAmount(uint256) returns()
updateMaxSellAmount(uint256) returns()
removeLimits() returns()
excludeFromMaxTransaction(address,bool) returns()
updateMaxWalletAmount(uint256) returns()
updateSwapTokensAtAmount(uint256) returns()
updateBuyFees(uint256,uint256) returns()
updateSellFees(uint256,uint256) returns()
excludeFromFees(address,bool) returns()
setAutomatedMarketMakerPair(address,bool) returns()
enableTrading(bool) returns()
setTreasuryAddress(address) returns()
claimStuckTokens(address) returns()
limitsInEffect() returns(bool)
sellTotalFees() returns(uint256)
swapEnabled() returns(bool)
_isExcludedMaxTransactionAmount(address) returns(bool)
tokensForLiquidity() returns(uint256)
maxBuyAmount() returns(uint256)
uniswapV2Pair() returns(address)
TreasuryAddress() returns(address)
tokensForTreasury() returns(uint256)
buyLiquidityFee() returns(uint256)
swapTokensAtAmount() returns(uint256)
tradingActive() returns(bool)
maxWalletAmount() returns(uint256)
automatedMarketMakerPairs(address) returns(bool)
buyTotalFees() returns(uint256)
sellLiquidityFee() returns(uint256)
maxSellAmount() returns(uint256)
sellTreasuryFee() returns(uint256)
uniswapV2Router() returns(IDexRouter)
buyTreasuryFee() returns(uint256)
"""
