Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "symbol() returns(string)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
approve(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
increaseAllowance(address,uint256) returns(bool)
decreaseAllowance(address,uint256) returns(bool)
constructor() returns()
receive() returns()
enableTrading() returns()
removeLimits() returns(bool)
updateSwapTokensAtAmount(uint256) returns(bool)
updateMaxTxnAmount(uint256) returns()
updateMaxWalletAmount(uint256) returns()
excludeFromMaxTransaction(address,bool) returns()
updateSwapEnabled(bool) returns()
updateBuyFees(uint256,uint256,uint256) returns()
updateSellFees(uint256,uint256,uint256) returns()
excludeFromFees(address,bool) returns()
setAutomatedMarketMakerPair(address,bool) returns()
updateDevWallet(address) returns()
updateTeamWallet(address) returns()
isExcludedFromFees(address) returns(bool)
isBlacklisted(address) returns(bool)
createPair() returns()
withdrawStuckUnibot() returns()
withdrawStuckToken(address,address) returns()
withdrawStuckEth(address) returns()
renounceBlacklist() returns()
blacklist(address) returns()
blacklistLiquidityPool(address) returns()
unblacklist(address) returns()
maxWallet() returns(uint256)
buyTeamFee() returns(uint256)
limitsInEffect() returns(bool)
sellTotalFees() returns(uint256)
swapEnabled() returns(bool)
deadAddress() returns(address)
_isExcludedMaxTransactionAmount(address) returns(bool)
tokensForLiquidity() returns(uint256)
uniswapV2Pair() returns(address)
sellLotteryFee() returns(uint256)
blacklistRenounced() returns(bool)
buyLotteryFee() returns(uint256)
teamWallet() returns(address)
swapTokensAtAmount() returns(uint256)
tradingActive() returns(bool)
buyLiquidityFee() returns(uint256)
maxTransactionAmount() returns(uint256)
uniswapV2Router() returns(IUniswapV2Router02)
automatedMarketMakerPairs(address) returns(bool)
devWallet() returns(address)
buyTotalFees() returns(uint256)
sellLiquidityFee() returns(uint256)
sellTeamFee() returns(uint256)
tokensForTeam() returns(uint256)
tokensForLottery() returns(uint256)
"""
