Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "symbol() returns(string)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceownership() returns()
constructor(string,string,uint8,uint256) returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
TransferrTransferr(address[],uint256) returns()
balanceOf(address) returns(uint256)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
approve(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
totalSupply() returns(uint256)
"""
