Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "symbol() returns(string)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
constructor() returns()
approve(address,uint256) returns(bool)
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
decimals() returns(uint256)
allowance(address,address) returns(uint256)
totalSupply() returns(uint256)
name() returns(string)
balanceOf(address) returns(uint256)
symbol() returns(string)
"""
