Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "balanceOf(address) returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
isOwner(address) returns(bool)
transferOwnership(address) returns()
constructor(address) returns()
receive() returns()
setMagaCoin(address) returns()
setBots(address[]) returns()
openTrading() returns()
changeTotalFees(uint256,uint256) returns()
changeFeeAllocation(uint256,uint256,uint256) returns()
changeTxLimit(uint256) returns()
changeWalletLimit(uint256) returns()
removeLimits() returns()
changeIsFeeExempt(address,bool) returns()
changeIsTxLimitExempt(address,bool) returns()
setDevWallet(address) returns()
setLpWallet(address) returns()
setOwnerWallet(address) returns()
changeSwapBackSettings(bool,uint256) returns()
setDistributionCriteria(uint256,uint256) returns()
delBot(address) returns()
setIsDividendExempt(address,bool) returns()
changeMagaPrinterGas(uint256) returns()
getCirculatingSupply() returns(uint256)
totalSupply() returns(uint256)
decimals() returns(uint8)
symbol() returns(string)
name() returns(string)
getOwner() returns(address)
balanceOf(address) returns(uint256)
allowance(address,address) returns(uint256)
approve(address,uint256) returns(bool)
approveMax(address) returns(bool)
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
manualSwapBack() returns()
clearStuckEth() returns()
rescueAnyERC20Tokens(address,address,uint256) returns()
manualProcessGas(uint256) returns()
howMuchMAGA(address) returns(uint256)
claimMaga() returns()
removeStuckDividends() returns()
maxWallet() returns(uint256)
magaPrinter() returns(MagaPrinter)
pair() returns(address)
toReflections() returns(uint256)
isTxLimitExempt(address) returns(bool)
buyFee() returns(uint256)
isDividendExempt(address) returns(bool)
magaPrinterGas() returns(uint256)
toLiquidity() returns(uint256)
tradingOpen() returns(bool)
swapAndLiquifyEnabled() returns(bool)
launchedAt() returns(uint256)
router() returns(IDEXRouter)
factory() returns(address)
allocationSum() returns(uint256)
isFeeExempt(address) returns(bool)
devWallet() returns(address)
MagaCoin() returns(address)
sellFee() returns(uint256)
toMarketing() returns(uint256)
swapThreshold() returns(uint256)
maxTx() returns(uint256)
"""
