Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "symbol() returns(string)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
constructor() returns()
setBots(address[]) returns()
changeFees(uint256,uint256,uint256,uint256,uint256,uint256) returns()
changeTxLimit(uint256) returns()
changeWalletLimit(uint256) returns()
changeRestrictWhales(bool) returns()
changeIsFeeExempt(address,bool) returns()
changeIsTxLimitExempt(address,bool) returns()
setDevWallet(address) returns()
setLpWallet(address) returns()
setOwnerWallet(address) returns()
changeSwapBackSettings(bool,uint256) returns()
setDistributionCriteria(uint256,uint256) returns()
delBot(address) returns()
changeDistributorGas(uint256) returns()
getCirculatingSupply() returns(uint256)
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
approve(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
increaseAllowance(address,uint256) returns(bool)
decreaseAllowance(address,uint256) returns(bool)
receive() returns()
tokenOwner() returns(address)
lpFeeOnSell() returns(uint256)
_walletMax() returns(uint256)
lpFee() returns(uint256)
totalFee() returns(uint256)
dividendDistributor() returns(IDividendDistributor)
restrictWhales() returns(bool)
devFee() returns(uint256)
pair() returns(address)
devFeeOnSell() returns(uint256)
lpWallet() returns(address)
isTxLimitExempt(address) returns(bool)
isDividendExempt(address) returns(bool)
reflectionFee() returns(uint256)
swapAndLiquifyEnabled() returns(bool)
launchedAt() returns(uint256)
totalFeeIfSelling() returns(uint256)
reflectionFeeOnSell() returns(uint256)
factory() returns(address)
isFeeExempt(address) returns(bool)
devWallet() returns(address)
tradingStatus() returns(bool)
router() returns(IUniswapV2Router02)
_maxTxAmount() returns(uint256)
swapThreshold() returns(uint256)
distributorGas() returns(uint256)
"""
