Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "name() returns(string)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
waiveOwnership() returns()
transferOwnership(address) returns()
constructor() returns()
setBuyTaxes(uint256,uint256) returns()
setsellTaxes(uint256,uint256) returns()
setShares(uint256,uint256) returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
allowance(address,address) returns(uint256)
increaseAllowance(address,uint256) returns(bool)
decreaseAllowance(address,uint256) returns(bool)
minimumTokensBeforeSwapAmount() returns(uint256)
approve(address,uint256) returns(bool)
setIsExcludedFromFee(address,bool) returns()
setMarketPairStatus(address,bool) returns()
setNumTokensBeforeSwap(uint256) returns()
getCirculatingSupply() returns(uint256)
receive() returns()
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
_lpShare() returns(uint256)
_marketingShare() returns(uint256)
_buyLpFee() returns(uint256)
deadAddress() returns(address)
_sellLpFee() returns(uint256)
lpWallet() returns(address)
_totalDistributionShares() returns(uint256)
_totalTaxIfBuying() returns(uint256)
marketingWallet() returns(address)
startBlock() returns(uint256)
_sellMarketingFee() returns(uint256)
swapAndLiquifyEnabled() returns(bool)
_totalTaxIfSelling() returns(uint256)
uniswapV2Router() returns(IUniswapV2Router02)
uniswapPair() returns(address)
swapAndLiquifyByLimitOnly() returns(bool)
isMarketPair(address) returns(bool)
isExcludedFromFee(address) returns(bool)
_buyMarketingFee() returns(uint256)
"""
