Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "allowance(address,address) returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
getBlackListStatus(address) returns(bool)
getOwner() returns(address)
addBlackList(address) returns()
removeBlackList(address) returns()
destroyBlackFunds(address) returns()
transfer(address,uint256) returns()
balanceOf(address) returns(uint256)
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
transferFrom(address,address,uint256) returns()
approve(address,uint256) returns()
allowance(address,address) returns(uint256)
pause() returns()
unpause() returns()
constructor(uint256,string,string,uint256) returns()
deprecate(address) returns()
totalSupply() returns(uint256)
issue(uint256) returns()
redeem(uint256) returns()
setParams(uint256,uint256) returns()
decimals() returns(uint256)
isBlackListed(address) returns(bool)
basisPointsRate() returns(uint256)
maximumFee() returns(uint256)
paused() returns(bool)
name() returns(string)
upgradedAddress() returns(address)
allowed(address,address) returns(uint256)
deprecated() returns(bool)
_totalSupply() returns(uint256)
MAX_UINT() returns(uint256)
balances(address) returns(uint256)
symbol() returns(string)
"""
