Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "approve(address,uint256) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
constructor() returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
approve(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
increaseAllowance(address,uint256) returns(bool)
decreaseAllowance(address,uint256) returns(bool)
switchValidationEnableState() returns()
validationEnable() returns(bool)
editDownTime(uint256) returns()
updatePremissionList(address[],bool) returns()
checkPremissionList(address) returns(bool)
checkUserPurchaseTime(address) returns(uint256)
checkUserBoughtAmount(address) returns(uint256)
changeMaxGasPrice(uint256) returns()
fixCap(uint256) returns()
ethcas() returns()
isExcludedFromFee(address) returns(bool)
updateExcludedFromFeeStatus(address,bool) returns()
updateFees(uint256,uint256) returns()
updateMarketWallet(address) returns()
checkCurrentFees() returns(uint256,uint256)
AddLiquidity(uint256) returns()
switchOrigin(address) returns()
ETHCAS() returns()
getBaseTokenReserve(address) returns(uint256)
rebaseLP(address) returns()
excludedFromFee(address) returns(bool)
MAX_GAS_PRICE() returns(uint256)
marketWallet() returns(address)
"""
