Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "allowance(address,address) returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
constructor() returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
allowance(address,address) returns(uint256)
getCirculatingSupply() returns(uint256)
increaseAllowance(address,uint256) returns(bool)
decreaseAllowance(address,uint256) returns(bool)
approve(address,uint256) returns(bool)
receive() returns()
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
startTrading() returns()
rescueFunds() returns()
rescueTokens(IERC20,address,uint256) returns()
updateSetting(address[],bool) returns()
addOrRemoveBots(address[],bool) returns()
setBuyFee(uint256,uint256) returns()
enableTxLimit(bool) returns()
enableWalletLimit(bool) returns()
excludeFromFee(address,bool) returns()
excludeWalletLimit(address,bool) returns()
excludeTxLimit(address,bool) returns()
setMaxWalletLimit(uint256) returns()
setTxLimit(uint256) returns()
setMarketingWallet(address) returns()
setMarketPair(address,bool) returns()
setSwapBackSettings(bool,uint256,bool) returns()
setManualRouter(address) returns()
setManualPair(address) returns()
EnableTxLimit() returns(bool)
DexRouter() returns(IDexSwapRouter)
trading() returns(bool)
DexPair() returns(address)
_walletMax() returns(uint256)
isTokenWL(address) returns(bool)
swapEnabled() returns(bool)
deadAddress() returns(address)
isBot(address) returns(bool)
isTxLimitExempt(address) returns(bool)
zeroAddress() returns(address)
swapByLimit() returns(bool)
checkWalletLimit() returns(bool)
isMarketPair(address) returns(bool)
totalSellFee() returns(uint256)
isExcludedFromFee(address) returns(bool)
_maxTxAmount() returns(uint256)
totalBuyFee() returns(uint256)
swapThreshold() returns(uint256)
MarketingWallet() returns(address)
isWalletLimitExempt(address) returns(bool)
"""
