Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "balanceOf(address) returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
constructor() returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
approve(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
increaseAllowance(address,uint256) returns(bool)
decreaseAllowance(address,uint256) returns(bool)
isExcludedFromReward(address) returns(bool)
reflectionFromToken(uint256,bool,bool) returns(uint256)
tokenFromReflection(uint256) returns(uint256)
excludeFromReward(address) returns()
includeInReward(address) returns()
excludeFromFee(address) returns()
includeInFee(address) returns()
isExcludedFromFee(address) returns(bool)
setTaxes(uint256,uint256,uint256,uint256) returns()
setSellTaxes(uint256,uint256,uint256,uint256) returns()
updateMarketingWallet(address) returns()
updateDevWallet(address) returns()
updateMaxWalletBalance(uint256) returns()
updatMaxBuyAmt(uint256) returns()
updatMaxSellAmt(uint256) returns()
updateSwapTokensAtAmount(uint256) returns()
updateSwapEnabled(bool) returns()
setAntibot(address,bool) returns()
bulkAntiBot(address[],bool) returns()
updateRouterAndPair(address,address) returns()
isBot(address) returns(bool)
rescueBNB(uint256) returns()
rescueAnyBEP20Tokens(address,address,uint256) returns()
receive() returns()
swapTokensAtAmount() returns(uint256)
pair() returns(address)
totFeesPaid() returns(uint256,uint256,uint256,uint256)
devAddress() returns(address)
taxes() returns(uint256,uint256,uint256,uint256)
marketingAddress() returns(address)
router() returns(IRouter)
sellTaxes() returns(uint256,uint256,uint256,uint256)
maxSellAmount() returns(uint256)
swapEnabled() returns(bool)
maxWalletBalance() returns(uint256)
maxBuyAmount() returns(uint256)
"""
