Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "transferFrom(address,address,uint256) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
approve(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
increaseAllowance(address,uint256) returns(bool)
decreaseAllowance(address,uint256) returns(bool)
constructor() returns()
receive() returns()
enableTrading(uint256) returns()
removeLimits() returns()
manageBoughtEarly(address,bool) returns()
massManageBoughtEarly(address[],bool) returns()
disableTransferDelay() returns()
updateMaxBuyAmount(uint256) returns()
updateMaxSellAmount(uint256) returns()
updateMaxWalletAmount(uint256) returns()
updateSwapTokensAtAmount(uint256) returns()
airdropToWallets(address[],uint256[]) returns()
excludeFromMaxTransaction(address,bool) returns()
setAutomatedMarketMakerPair(address,bool) returns()
updateBuyFees(uint256,uint256,uint256,uint256) returns()
updateSellFees(uint256,uint256,uint256,uint256) returns()
returnToNormalTax() returns()
excludeFromFees(address,bool) returns()
earlyBuyPenaltyInEffect() returns(bool)
transferForeignToken(address,address) returns(bool)
withdrawStuckETH() returns()
setMarketingAddress(address) returns()
setDevCutAddress(address) returns()
forceSwapBack() returns()
buyBackTokens(uint256) returns()
sellDevCutFee() returns(uint256)
tokensForBurn() returns(uint256)
limitsInEffect() returns(bool)
sellTotalFees() returns(uint256)
transferDelayEnabled() returns(bool)
swapEnabled() returns(bool)
boughtEarly(address) returns(bool)
tradingActiveBlock() returns(uint256)
maxBuyAmount() returns(uint256)
tokensForLiquidity() returns(uint256)
_isExcludedMaxTransactionAmount(address) returns(bool)
sellBurnFee() returns(uint256)
blockForPenaltyEnd() returns(uint256)
buyMarketingFee() returns(uint256)
dexRouter() returns(IDexRouter)
botsCaught() returns(uint256)
lpPair() returns(address)
buyLiquidityFee() returns(uint256)
swapTokensAtAmount() returns(uint256)
tradingActive() returns(bool)
buyBurnFee() returns(uint256)
maxWalletAmount() returns(uint256)
automatedMarketMakerPairs(address) returns(bool)
buyDevCutFee() returns(uint256)
buyTotalFees() returns(uint256)
tokensForMarketing() returns(uint256)
sellLiquidityFee() returns(uint256)
tokensForDevCut() returns(uint256)
sellMarketingFee() returns(uint256)
maxSellAmount() returns(uint256)
"""
