Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "approve(address,uint256) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
isOwner(address) returns(bool)
transferOwnership(address) returns()
constructor() returns()
receive() returns()
name() returns(string)
symbol() returns(string)
decimals() returns(uint8)
getOwner() returns(address)
totalSupply() returns(uint256)
balanceOf(address) returns(uint256)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
approve(address,uint256) returns(bool)
availableBalance(address) returns(uint256)
circulatingSupply() returns(uint256)
deposit(uint256) returns()
withdraw(uint256) returns()
setStakingAddress(address) returns()
setStructure(uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256) returns()
setParameters(uint256,uint256,uint256) returns()
setPUMP(bool,uint256,uint256) returns()
startTrading() returns()
setInternalAddresses(address,address,address,address,address) returns()
setisExempt(address,bool) returns()
rescueERC20(address,uint256) returns()
setSwapbackSettings(uint256,uint256,uint256) returns()
transferFrom(address,address,uint256) returns(bool)
pair() returns(address)
_maxWalletToken() returns(uint256)
totalStaked() returns(uint256)
_maxSellAmount() returns(uint256)
PUMPMinAmount() returns(uint256)
_maxTxAmount() returns(uint256)
PUMPTrigger() returns(uint256)
PUMPBuyNeeded() returns(bool)
PUMPSells() returns(uint256)
amountStaked(address) returns(uint256)
PUMP() returns(bool)
"""
