Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "safeTransferFrom(address,address,uint256,uint256,bytes) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
supportsFactoryInterface() returns(bool)
setTemplateURI(string) returns()
setURI(uint256,string) returns()
setPermanentURI(uint256,string) returns()
isPermanentURI(uint256) returns(bool)
uri(uint256) returns(string)
balanceOf(address,uint256) returns(uint256)
safeTransferFrom(address,address,uint256,uint256,bytes) returns()
safeBatchTransferFrom(address,address,uint256[],uint256[],bytes) returns()
burn(address,uint256,uint256) returns()
batchBurn(address,uint256[],uint256[]) returns()
pause() returns()
unpause() returns()
balanceOfBatch(address[],uint256[]) returns(uint256[])
totalSupply(uint256) returns(uint256)
isApprovedForAll(address,address) returns(bool)
mint(address,uint256,uint256,bytes) returns()
batchMint(address,uint256[],uint256[],bytes) returns()
exists(uint256) returns(bool)
paused() returns(bool)
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
executeMetaTransaction(address,bytes,bytes32,bytes32,uint8) returns(bytes)
getNonce(address) returns(uint256)
getDomainSeperator() returns(bytes32)
getChainId() returns(uint256)
supportsInterface(bytes4) returns(bool)
setApprovalForAll(address,bool) returns()
constructor(string,string,address,string,address) returns()
setProxyRegistryAddress(address) returns()
addSharedProxyAddress(address) returns()
removeSharedProxyAddress(address) returns()
disableMigrate() returns()
migrate(AssetContractShared.Ownership[]) returns()
setCreator(uint256,address) returns()
creator(uint256) returns(address)
maxSupply(uint256) returns(uint256)
symbol() returns(string)
sharedProxyAddresses(address) returns(bool)
proxyRegistryAddress() returns(address)
templateURI() returns(string)
ERC712_VERSION() returns(string)
name() returns(string)
migrationTarget() returns(AssetContractShared)
"""
