Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "balanceOf(address,uint256) returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
totalSupply(uint256) returns(uint256)
exists(uint256) returns(bool)
supportsInterface(bytes4) returns(bool)
uri(uint256) returns(string)
balanceOf(address,uint256) returns(uint256)
balanceOfBatch(address[],uint256[]) returns(uint256[])
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
safeTransferFrom(address,address,uint256,uint256,bytes) returns()
safeBatchTransferFrom(address,address,uint256[],uint256[],bytes) returns()
burn(address,uint256,uint256) returns()
burnBatch(address,uint256[],uint256[]) returns()
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
constructor() returns()
setURI(uint256,string) returns()
tokenURI(uint256) returns(string)
mint(address,uint256,uint256) returns()
mintDrop(uint256,address[]) returns()
withdraw() returns()
name() returns(string)
symbol() returns(string)
"""
