Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "setApprovalForAll(address,bool) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
burn(address,uint256,uint256) returns()
burnBatch(address,uint256[],uint256[]) returns()
supportsInterface(bytes4) returns(bool)
uri(uint256) returns(string)
balanceOf(address,uint256) returns(uint256)
balanceOfBatch(address[],uint256[]) returns(uint256[])
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
safeTransferFrom(address,address,uint256,uint256,bytes) returns()
safeBatchTransferFrom(address,address,uint256[],uint256[],bytes) returns()
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
constructor() returns()
SetRightPerson(address) returns()
SetBIGP(address) returns()
SetAssistance(address) returns()
SetPeriod(uint256) returns()
setURI(string) returns()
mint(address,uint256,uint256,bytes) returns()
SetRate(uint256,uint256) returns()
ReadRate(uint256) returns(uint256)
MintBSCard(uint256,uint256,uint256) returns(bool)
HelpMembertoMintCard(address,uint256,uint256,uint256) returns(bool)
viewCardSupply(uint256) returns(uint256)
viewBatchData(uint256) returns(address,uint256,uint256,uint256,uint256)
Neon(uint256) returns(bool)
RedempBIGP(uint256) returns(bool)
mintBatch(address,uint256[],uint256[],bytes) returns()
BIGP() returns(IERC20)
YearInSec() returns(uint256)
Deposited(uint256) returns(uint256)
Batch_id() returns(uint256)
assistance() returns(address)
CardSupplies(uint256) returns(uint256)
ReleasedTime(uint256) returns(uint256)
CardAmount(uint256) returns(uint256)
CardType(uint256) returns(uint256)
MintAddr(uint256) returns(address)
rate(uint256) returns(uint256)
BigPAmount() returns(uint256)
creator() returns(address)
rightperson() returns(address)
"""
