Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "balanceOfBatch(address[],uint256[]) returns(uint256[])" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
totalSupply(uint256) returns(uint256)
exists(uint256) returns(bool)
supportsInterface(bytes4) returns(bool)
uri(uint256) returns(string)
balanceOf(address,uint256) returns(uint256)
balanceOfBatch(address[],uint256[]) returns(uint256[])
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
safeTransferFrom(address,address,uint256,uint256,bytes) returns()
safeBatchTransferFrom(address,address,uint256[],uint256[],bytes) returns()
constructor(address) returns()
setName(string) returns()
setBaseUri(string) returns()
setPaymentToken(address) returns()
setTokenDetails(uint256,uint256,uint256,uint256,bool) returns()
setLive(uint256,bool) returns()
adminMint(address,uint256,uint256) returns()
setStakeholders(address[],uint256[]) returns()
withdraw(uint256) returns()
mintErc20(uint256,uint256) returns()
mintErc20Admin(uint256,uint256,uint256) returns()
paymentToken() returns(IERC20)
name() returns(string)
baseUri() returns(string)
tokenDetails(uint256) returns(uint256,uint256,uint256,bool)
"""
