Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "isApprovedForAll(address,address) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
totalSupply(uint256) returns(uint256)
exists(uint256) returns(bool)
supportsInterface(bytes4) returns(bool)
uri(uint256) returns(string)
balanceOf(address,uint256) returns(uint256)
balanceOfBatch(address[],uint256[]) returns(uint256[])
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
safeTransferFrom(address,address,uint256,uint256,bytes) returns()
safeBatchTransferFrom(address,address,uint256[],uint256[],bytes) returns()
burn(address,uint256,uint256) returns()
burnBatch(address,uint256[],uint256[]) returns()
paused() returns(bool)
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
constructor(string,string) returns()
pause() returns()
unpause() returns()
mint(uint256,string) returns()
gift_mint(uint256,string,address) returns()
mintBatch(uint256[],string[]) returns()
withdrawBalance() returns(bool)
getBalance() returns(uint256)
tokenCounts() returns(uint256)
name() returns(string)
symbol() returns(string)
"""
