Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "getApproved(uint256) returns(address)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
setContractURI(string) returns()
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
supportsInterface(bytes4) returns(bool)
tokenOfOwnerByIndex(address,uint256) returns(uint256)
totalSupply() returns(uint256)
tokenByIndex(uint256) returns(uint256)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor(address,string) returns()
claimNFT(address,uint8) returns(uint256)
mintWithUsdt(uint8) returns(uint256)
setNFTPrice(uint256,uint256) returns()
getNFTPrice(uint256) returns(uint256)
getNFTPriceInUsdt(uint256) returns(uint256)
addNewNFTType(uint256,uint256,string) returns()
setBaseURI(string) returns()
pauseMinting() returns()
resumeMinting() returns()
withdrawAll() returns()
setUsdtAddress(address) returns()
withdrawUSDT() returns()
setUsdtDecimals(uint8) returns()
isValid(uint256) returns(bool)
exists(uint256) returns(bool)
getFunds() returns(uint256)
nftPrice(uint256) returns(uint256)
baseURI() returns(string)
usdtDecimals() returns(uint8)
nftValidUntil(uint256) returns(uint256)
isPaused() returns(bool)
nftTypes(uint256) returns(uint256,uint256,string)
NFTTYPE(uint256) returns(uint8)
usdt() returns(address)
contractURI() returns(string)
"""
