Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "supportsInterface(bytes4) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
supportsInterface(bytes4) returns(bool)
hasRole(bytes32,address) returns(bool)
getRoleAdmin(bytes32) returns(bytes32)
grantRole(bytes32,address) returns()
revokeRole(bytes32,address) returns()
renounceRole(bytes32,address) returns()
tokenOfOwnerByIndex(address,uint256) returns(uint256)
totalSupply() returns(uint256)
tokenByIndex(uint256) returns(uint256)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor() returns()
mintNFT(uint256,address) returns()
setEditionURI(uint256,string) returns()
setEditionSupply(uint256,uint256) returns()
setNumberEditions(uint256) returns()
getEditionURI(uint256) returns(string)
giveAccess(address) returns()
revokeAccess(address) returns()
editionURI(uint256) returns(string)
DEFAULT_ADMIN_ROLE() returns(bytes32)
tokenIDToEdition(uint256) returns(uint256)
editionTokenCounter(uint256) returns(uint256)
numberEditions() returns(uint256)
editionSupply(uint256) returns(uint256)
MINTER_ROLE() returns(bytes32)
"""
