Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "isApprovedForAll(address,address) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
supportsInterface(bytes4) returns(bool)
tokenOfOwnerByIndex(address,uint256) returns(uint256)
totalSupply() returns(uint256)
tokenByIndex(uint256) returns(uint256)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor(string,string) returns()
addCurrency(IERC20,uint256) returns()
mint(address,uint256,uint256) returns()
walletOfOwner(address) returns(uint256[])
setmaxMintAmount(uint256) returns()
setBaseURI(string) returns()
setBaseExtension(string) returns()
pause(bool) returns()
withdraw(uint256) returns()
paused() returns(bool)
baseURI() returns(string)
maxMintAmount() returns(uint256)
AllowedCrypto(uint256) returns(IERC20,uint256)
baseExtension() returns(string)
maxSupply() returns(uint256)
"""
