Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "safeTransferFrom(address,address,uint256,bytes) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
supportsInterface(bytes4) returns(bool)
hasRole(bytes32,address) returns(bool)
getRoleAdmin(bytes32) returns(bytes32)
grantRole(bytes32,address) returns()
revokeRole(bytes32,address) returns()
renounceRole(bytes32,address) returns()
paused() returns(bool)
tokenURI(uint256) returns(string)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor(address) returns()
receive() returns()
presaleMint(Coolbullz.automint[]) returns()
setMintLimit(uint256) returns()
OGMint(uint256,address) returns()
wlMint(uint256,address) returns()
publicMint(uint256,address) returns()
treasuryMint(uint256) returns()
setOgWhiteList(address[]) returns()
setWLWhiteList(address[]) returns()
setTreasuryWallet(address) returns()
setSequence(uint256[]) returns()
setOldSequence(uint256[]) returns()
resetNoOfEntry(uint256) returns()
setMintType(uint256,uint256,bool,bool,bool) returns()
setBaseUrl(string) returns()
withdraw() returns()
withdrawAdmin() returns()
sequence(uint256) returns(uint256)
DEFAULT_ADMIN_ROLE() returns(bytes32)
amount_paid(address) returns(uint256)
public_minted_address(address) returns(uint256)
WL_user_addresses(address) returns(bool)
has_paid(address) returns(bool)
PAUSER_ROLE() returns(bytes32)
supply() returns(uint256)
noOfEntry() returns(uint256)
sequence_tokenId(uint256) returns(bool)
totalSupply() returns(uint256)
Og_minted_address(address) returns(uint256)
base_url() returns(string)
OG_user_addresses(address) returns(bool)
treasury() returns(address)
wl_minted_address(address) returns(uint256)
mint_Limit() returns(uint256)
MINTER_ROLE() returns(bytes32)
mint_price() returns(uint256)
"""
