Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "safeTransferFrom(address,address,uint256,bytes) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
supportsInterface(bytes4) returns(bool)
tokenOfOwnerByIndex(address,uint256) returns(uint256)
totalSupply() returns(uint256)
tokenByIndex(uint256) returns(uint256)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor(string,string,string) returns()
mint(address,uint256) returns()
walletOfOwner(address) returns(uint256[])
setCost(uint256) returns()
setPresaleCost(uint256) returns()
setmaxMintAmount(uint256) returns()
setBaseURI(string) returns()
setBaseExtension(string) returns()
pause(bool) returns()
whitelistUser(address) returns()
removeWhitelistUser(address) returns()
addPresaleUser(address) returns()
add100PresaleUsers(address[100]) returns()
removePresaleUser(address) returns()
withdraw() returns()
paused() returns(bool)
baseURI() returns(string)
whitelisted(address) returns(bool)
presaleCost() returns(uint256)
maxMintAmount() returns(uint256)
baseExtension() returns(string)
presaleWallets(address) returns(bool)
cost() returns(uint256)
maxSupply() returns(uint256)
"""
