Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "isApprovedForAll(address,address) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
supportsInterface(bytes4) returns(bool)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor() returns()
totalSupply() returns(uint256)
mint(string) returns(uint256)
mintWithINEX(string) returns(uint256)
mintForAddress(address,string) returns(uint256)
GetAllowance() returns(uint256)
mintForAddressCompany(address,string[]) returns()
walletOfOwner(address) returns(uint256[])
awardItem(address,string[]) returns(bool)
setRevealed(bool) returns()
setCost(uint256) returns()
setTokenAddress(address) returns()
setTokenCost(uint256) returns()
setInexTokenPrice(uint256) returns()
setNftPerAddressLimit(uint256) returns()
setAirdropPerAddressLimit(uint256) returns()
setMaxMintAmountPerTx(uint256) returns()
setHiddenMetadataUri(string) returns()
setUriPrefix(string) returns()
setUriSuffix(string) returns()
setOnlyWhitelisted(bool) returns()
setPaused(bool) returns()
withdraw() returns()
withdrawToken(uint256) returns()
convertEthereumToMatic() returns(uint256)
convertEthereumToInex() returns(uint256)
maxMintAmountPerTx() returns(uint256)
paused() returns(bool)
addressMintedBalance(address) returns(uint256)
inexPrice() returns(uint256)
nftPerAdressLimit() returns(uint256)
airDropPerAdressLimit() returns(uint256)
onlyWhitelisted() returns(bool)
tokenCost() returns(uint256)
inexAirDrop() returns(uint256)
revealed() returns(bool)
hiddenMetadataUri() returns(string)
maxSupply() returns(uint256)
cost() returns(uint256)
uriPrefix() returns(string)
uriSuffix() returns(string)
"""
