Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "setApprovalForAll(address,bool) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
isOwnerByAddress(address) returns(bool)
getOwner() returns(address)
isManagerByAddress(address) returns(bool)
getManagers() returns(address[])
addManagerByAddress(address) returns()
deleteManagerByAddress(address) returns()
changeOwnerByAddress(address) returns()
supportsInterface(bytes4) returns(bool)
tokenURI(uint256) returns(string)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor() returns()
mintCertification(address,string) returns(uint256)
getTokenOf(address) returns(string[])
"""
