Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "supportsInterface(bytes4) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
supportsInterface(bytes4) returns(bool)
tokenOfOwnerByIndex(address,uint256) returns(uint256)
totalSupply() returns(uint256)
tokenByIndex(uint256) returns(uint256)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor(string,string,string) returns()
mint(uint256) returns()
walletOfOwner(address) returns(uint256[])
reveal() returns()
setCost(uint256) returns()
setmaxMintAmount(uint256) returns()
setNotRevealedURI(string) returns()
setBaseURI(string) returns()
setBaseExtension(string) returns()
pause(bool) returns()
withdraw() returns()
bulkAirdropERC20(IERC20,address[],uint256[]) returns()
bulkAirdropERC721(IERC721,address[],uint256[]) returns()
bulkAirdropERC1155(IERC1155,address[],uint256[],uint256[]) returns()
paused() returns(bool)
maxMintAmount() returns(uint256)
baseExtension() returns(string)
revealed() returns(bool)
notRevealedUri() returns(string)
cost() returns(uint256)
maxSupply() returns(uint256)
"""
