Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "setApprovalForAll(address,bool) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
totalSupply() returns(uint256)
supportsInterface(bytes4) returns(bool)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor() returns()
mint(uint256) returns()
tokenOfOwnerByIndex(address,uint256) returns(uint256)
claim() returns()
_getFirstUnclaimedToken(address) returns(uint256)
pause(bool) returns()
withdraw() returns()
setBaseURI(string) returns()
setMax_supply(uint256) returns()
setMax_Mints(uint256) returns()
setPrice(uint256) returns()
paused() returns(bool)
price() returns(uint256)
max_mints() returns(uint256)
max_supply() returns(uint256)
baseURI() returns(string)
OPERATOR_FILTER_REGISTRY() returns(IOperatorFilterRegistry)
"""
