Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "isApprovedForAll(address,address) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
supportsInterface(bytes4) returns(bool)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
royaltyInfo(uint256,uint256) returns(address,uint256)
burn(uint256) returns()
paused() returns(bool)
tokenOfOwnerByIndex(address,uint256) returns(uint256)
totalSupply() returns(uint256)
tokenByIndex(uint256) returns(uint256)
constructor() returns()
safeMint(address,string) returns(uint256)
batchMint(address,uint256,string) returns(uint256)
safeMintRoyalty(address,string,address,uint96) returns(uint256)
pause() returns()
unpause() returns()
contractURI() returns(string)
"""
