Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "approve(address,uint256) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
burn(uint256) returns()
supportsInterface(bytes4) returns(bool)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
constructor(address,address,address,address,address,uint256,uint256,uint256,address) returns()
bet() returns()
claim(uint256) returns(uint256)
resetGame(address,address,uint256,uint256) returns()
resetLotto(bool,address,address,address,address,address,uint256,bool,bool) returns()
setBaseUri(string) returns()
setRequestParameters(address,bytes32,address) returns()
fulfillUint256(bytes32,bytes) returns()
fallback() returns()
receive() returns()
airnodeRrp() returns(IAirnodeRrpV0)
pastLottoAPI3CallCounter(bytes32) returns(uint256)
pastLottoRewards(uint256) returns(uint256)
baseExtension() returns(string)
baseUri() returns(string)
taxSwitch() returns(bool)
airnode() returns(address)
erc20Token() returns(address)
expectingRequestWithIdToBeFulfilled(bytes32) returns(bool)
betPrice() returns(uint256)
endpointIdUint256() returns(bytes32)
pastLottoPlayer1(uint256) returns(address)
lottoOpen() returns(bool)
betBase() returns(uint256)
pastLottoPlayer2(uint256) returns(address)
taxRate() returns(uint256)
sponsorWallet() returns(address)
player1W() returns(address)
player2W() returns(address)
restartTimer() returns(uint256)
restartDuration() returns(uint256)
counter() returns(uint256)
"""
