Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "balanceOf(address) returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
isAdmin(address) returns(bool)
isOperator(address) returns(bool)
addAdmin(address) returns()
addOperator(address) returns()
renounceAdmin() returns()
removeOperator(address) returns()
hasRole(bytes32,address) returns(bool)
getRoleMemberCount(bytes32) returns(uint256)
getRoleMember(bytes32,uint256) returns(address)
getRoleAdmin(bytes32) returns(bytes32)
grantRole(bytes32,address) returns()
revokeRole(bytes32,address) returns()
renounceRole(bytes32,address) returns()
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
baseURI() returns(string)
tokenOfOwnerByIndex(address,uint256) returns(uint256)
totalSupply() returns(uint256)
tokenByIndex(uint256) returns(uint256)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
supportsInterface(bytes4) returns(bool)
constructor(string,string,address) returns()
mint(address,uint256,string) returns()
updateTokenURI(uint256,string) returns()
OPERATOR_ROLE() returns(bytes32)
DEFAULT_ADMIN_ROLE() returns(bytes32)
"""
