Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "safeTransferFrom(address,address,uint256,bytes) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
supportsInterface(bytes4) returns(bool)
tokenOfOwnerByIndex(address,uint256) returns(uint256)
totalSupply() returns(uint256)
tokenByIndex(uint256) returns(uint256)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
getRoleMember(bytes32,uint256) returns(address)
getRoleMemberCount(bytes32) returns(uint256)
hasRole(bytes32,address) returns(bool)
getRoleAdmin(bytes32) returns(bytes32)
grantRole(bytes32,address) returns()
revokeRole(bytes32,address) returns()
renounceRole(bytes32,address) returns()
multicall(bytes[]) returns(bytes[])
constructor() returns()
contractType() returns(bytes32)
contractVersion() returns(uint8)
owner() returns(address)
verify(ITokenERC721.MintRequest,bytes) returns(bool,address)
changeUseState(uint256,uint16[]) returns(string)
getUseState(uint256) returns(bool,uint16[])
claimPrize(uint256) returns(string)
getClaimState(uint256) returns(bool)
mintTo(address,string) returns(uint256)
buyTicket(string) returns(uint256)
withdraw() returns()
addItem(string) returns(uint256)
royaltyInfo(uint256,uint256) returns(address,uint256)
mintWithSignature(ITokenERC721.MintRequest,bytes) returns(uint256)
setPrimarySaleRecipient(address) returns()
setDefaultRoyaltyInfo(address,uint256) returns()
setRoyaltyInfoForToken(uint256,address,uint256) returns()
setPlatformFeeInfo(address,uint256) returns()
setOwner(address) returns()
setContractURI(string) returns()
getPlatformFeeInfo() returns(address,uint16)
getDefaultRoyaltyInfo() returns(address,uint16)
getRoyaltyInfoForToken(uint256) returns(address,uint16)
burn(uint256) returns()
DEFAULT_ADMIN_ROLE() returns(bytes32)
nftslatamFee() returns(INLFee)
primarySaleRecipient() returns(address)
nextItemIdToMint() returns(uint256)
platformFeeRecipient() returns(address)
contractURI() returns(string)
nextTokenIdToMint() returns(uint256)
platformFeeBps() returns(uint128)
"""
