Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "setApprovalForAll(address,bool) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
supportsInterface(bytes4) returns(bool)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor(uint256) returns()
setFee(uint256) returns()
register(string) returns()
getDomainsByOwner(address) returns(uint256[])
addressToPrimaryDomain(address) returns(uint256)
fee() returns(uint256)
domainToId(string) returns(uint256)
domainId() returns(uint256)
ownerDomains(address,uint256) returns(uint256)
domains(uint256) returns(string,uint256,uint256)
"""
