Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "transferFrom(address,address,uint256) returns()" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
paused() returns(bool)
supportsInterface(bytes4) returns(bool)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor() returns()
setURI(string) returns()
setBaseExtension(string) returns()
setGuac(IGUAC) returns()
setGuacPrice(uint256) returns()
setMaxMinted(uint256) returns()
setUserAllowance(uint256) returns()
pause() returns()
unpause() returns()
withdraw() returns()
safeMint(uint256) returns()
userMints(address) returns(uint256)
maxMinted() returns(uint256)
OPERATOR_FILTER_REGISTRY() returns(IOperatorFilterRegistry)
guac() returns(IGUAC)
baseExtension() returns(string)
userAllowance() returns(uint256)
totalSupply() returns(uint256)
guacPrice() returns(uint256)
"""
