Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "isApprovedForAll(address,address) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
totalSupply() returns(uint256)
tokenByIndex(uint256) returns(uint256)
supportsInterface(bytes4) returns(bool)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor() returns()
getPrice() returns(uint256)
setPrice(uint256) returns()
mint(uint256) returns()
devMint(uint256) returns()
withdraw() returns()
setBaseURI(string) returns()
setPaused(bool) returns()
maxBuyPerTx() returns(uint256)
_price() returns(uint256)
paused() returns(bool)
maxSupply() returns(uint256)
"""
