Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "getApproved(uint256) returns(address)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
supportsInterface(bytes4) returns(bool)
tokenOfOwnerByIndex(address,uint256) returns(uint256)
totalSupply() returns(uint256)
tokenByIndex(uint256) returns(uint256)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
constructor(string,string,string,address) returns()
mint(address,uint256,string) returns()
walletOfOwner(address) returns(uint256[])
setPaymentToken(address) returns()
setCost(uint256) returns()
setmaxMintAmount(uint256) returns()
setBaseURI(string) returns()
setBaseExtension(string) returns()
pause(bool) returns()
whitelistUser(address) returns()
removeWhitelistUser(address) returns()
burn(uint256) returns()
burnByOwner(uint256) returns()
withdrawERC20(address,uint256) returns()
paused() returns(bool)
baseURI() returns(string)
whitelisted(address) returns(bool)
maxMintAmount() returns(uint256)
baseExtension() returns(string)
nextTokenId() returns(uint256)
paymentToken() returns(IERC20)
cost() returns(uint256)
tokenReferralCodes(uint256) returns(string)
maxSupply() returns(uint256)
"""
