Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "getApproved(uint256) returns(address)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
supportsInterface(bytes4) returns(bool)
royaltyInfo(uint256,uint256) returns(address,uint256)
tokenOfOwnerByIndex(address,uint256) returns(uint256)
totalSupply() returns(uint256)
tokenByIndex(uint256) returns(uint256)
balanceOf(address) returns(uint256)
ownerOf(uint256) returns(address)
name() returns(string)
symbol() returns(string)
tokenURI(uint256) returns(string)
approve(address,uint256) returns()
getApproved(uint256) returns(address)
setApprovalForAll(address,bool) returns()
isApprovedForAll(address,address) returns(bool)
transferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256) returns()
safeTransferFrom(address,address,uint256,bytes) returns()
owner() returns(address)
renounceOwnership() returns()
transferOwnership(address) returns()
constructor(string,string,string,address,XP721OS.SetRoyalty) returns()
baseURI() returns(string)
mint(address,uint256,bytes) returns()
burnFor(address,uint256) returns()
updateName(string) returns()
updateSymbol(string) returns()
setBaseURI(string) returns()
setMinter(address) returns()
updateDefaultRoyalty(address,uint96) returns()
baseUri() returns(string)
"""
