Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "name() returns(string)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
balanceOf(address) returns(uint256)
approve(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
KINGSGLOBAL() returns()
fallback() returns()
approveAndCall(address,uint256,bytes) returns(bool)
unitsOneEthCanBuy() returns(uint256)
totalSupply() returns(uint256)
name() returns(string)
totalEthInWei() returns(uint256)
version() returns(string)
decimals() returns(uint8)
symbol() returns(string)
fundsWallet() returns(address)
"""
