Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "transfer(address,uint256) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
approve(address,uint256) returns(bool)
burn(uint256) returns()
burnFrom(address,uint256) returns()
transferOwnership(address) returns()
balanceOf(address) returns(uint256)
allowance(address,address) returns(uint256)
pause() returns()
unpause() returns()
constructor(address,address) returns()
createTokens() returns()
setIcoTokenExchangeRate(uint256) returns()
setHaltIco(bool) returns()
sendFundHome() returns()
sendFundHomeAmt(uint256) returns()
toggleDead() returns(bool)
endIco() returns()
totalSupply() returns(uint256)
name() returns(string)
tokenSaleActive() returns(bool)
tokenCreationCap() returns(uint256)
icoTokenExchangeRate() returns(uint256)
paused() returns(bool)
owner() returns(address)
haltIco() returns(bool)
decimals() returns(uint256)
dead() returns(bool)
symbol() returns(string)
"""
