Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "allowance(address,address) returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
constructor() returns()
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
transferAndCall(address,uint256,bytes) returns(bool)
transferAllAndCall(address,bytes) returns(bool)
addAdmin(address) returns(bool)
removeAdmin(address) returns(bool)
changeMinExchangeAmount(uint256) returns(bool)
addToCanMint(address) returns(bool)
removeFromCanMint(address) returns(bool)
addToCanTransferFromContract(address) returns(bool)
removeFromCanTransferFromContract(address) returns(bool)
addToCanBurn(address) returns(bool)
removeFromCanBurn(address) returns(bool)
mintTokens(uint256,uint256) returns(bool)
mintAndTransfer(uint256,uint256,address) returns(bool)
burnTokens(uint256,uint256,uint256) returns(bool)
balanceOf(address) returns(uint256)
allowance(address,address) returns(uint256)
totalSupply() returns(uint256)
tokensInTransfer(uint256) returns(address,uint256,uint256)
mintTokensEvent(uint256) returns(address,uint256,uint256,uint256,uint256)
canMint(address) returns(bool)
canTransferFromContract(address) returns(bool)
symbol() returns(string)
fiatInPaymentIds(uint256) returns(bool)
mintTokensEventsCounter() returns(uint256)
fiatOutPaymentIdsUsed(uint256) returns(bool)
burnTokensEvents(uint256) returns(address,uint256,uint256,uint256,uint256,uint256)
fiatInPaymentsToMintTokensEvent(uint256) returns(address,uint256,uint256,uint256,uint256)
tokensInEventsCounter() returns(uint256)
isAdmin(address) returns(bool)
name() returns(string)
canBurn(address) returns(bool)
decimals() returns(uint8)
burnTokensEventsCounter() returns(uint256)
"""
