Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "decimals() returns(uint8)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
changeOwner(address) returns()
KIMEX(address,address) returns()
fallback() returns()
loadFund() returns()
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
approve(address,uint256) returns(bool)
modifyWhiteList(address[],bool) returns(bool)
startICO() returns(bool)
endICO() returns(bool)
setICOPrice(uint256) returns(bool)
activate() returns()
deActivate() returns()
enableTokenTransfer() returns()
changeWallet(address) returns()
changeAdminAddress(address) returns()
changeFounderAddress(address) returns()
changeTeamAddress(address) returns()
allocateTokensForFounder() returns()
allocateTokensForTeam() returns()
allocateReservedTokens(address,uint256) returns()
allocateSalesTokens(address,uint256) returns()
allowance(address,address) returns(uint256)
balanceOf(address) returns(uint256)
getCurrentState() returns(uint256)
isSoftCapReached() returns(bool)
totalInvestedAmountOf(address) returns(uint256)
icoStandardPrice() returns(uint256)
totalSupply() returns(uint256)
isSelling() returns(bool)
totalRefundedAmount() returns(uint256)
isTransferable() returns(bool)
minInvestedCap() returns(uint256)
totalLoadedRefund() returns(uint256)
icoEndTime() returns(uint256)
decimals() returns(uint256)
adminAddress() returns(address)
totalRemainingTokensForSales() returns(uint256)
teamAddress() returns(address)
founderAddress() returns(address)
walletAddress() returns(address)
founderAllocation() returns(uint256)
founderAllocatedTime() returns(uint256)
name() returns(string)
inActive() returns(bool)
symbol() returns(string)
owner() returns(address)
minInvestedAmount() returns(uint256)
teamAllocatedTime() returns(uint256)
whiteList(address) returns(bool)
totalReservedTokenAllocation() returns(uint256)
salesAllocation() returns(uint256)
teamAllocation() returns(uint256)
icoStartTime() returns(uint256)
reservedAllocation() returns(uint256)
"""
