Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "name() returns(string)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
MyToken(uint256,string,uint8,string) returns()
transfer(address,uint256) returns()
approve(address,uint256) returns(bool)
approveAndCall(address,uint256,bytes) returns(bool)
transferFrom(address,address,uint256) returns(bool)
fallback() returns()
allowance(address,address) returns(uint256)
standard() returns(string)
name() returns(string)
symbol() returns(string)
balanceOf(address) returns(uint256)
decimals() returns(uint8)
totalSupply() returns(uint256)
"""
