Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "approve(address,uint256) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
constructor() returns()
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
transferAndCall(address,uint256,bytes) returns(bool)
transferAllAndCall(address,bytes) returns(bool)
addAdmin(address) returns(bool)
removeAdmin(address) returns(bool)
changeMinExchangeAmount(uint256) returns(bool)
addToCanMint(address) returns(bool)
removeFromCanMint(address) returns(bool)
addToCanTransferFromContract(address) returns(bool)
removeFromCanTransferFromContract(address) returns(bool)
addToCanBurn(address) returns(bool)
removeFromCanBurn(address) returns(bool)
mintTokens(uint256,uint256) returns(bool)
mintAndTransfer(uint256,uint256,address) returns(bool)
burnTokens(uint256,uint256,uint256) returns(bool)
balanceOf(address) returns(uint256)
totalSupply() returns(uint256)
allowance(address,address) returns(uint256)
canMint(address) returns(bool)
fiatInPaymentIds(uint256) returns(bool)
tokensInTransfer(uint256) returns(address,uint256,uint256)
burnTokensEventsCounter() returns(uint256)
canTransferFromContract(address) returns(bool)
isAdmin(address) returns(bool)
name() returns(string)
symbol() returns(string)
fiatOutPaymentIdsUsed(uint256) returns(bool)
fiatInPaymentsToMintTokensEvent(uint256) returns(address,uint256,uint256,uint256,uint256)
burnTokensEvents(uint256) returns(address,uint256,uint256,uint256,uint256,uint256)
canBurn(address) returns(bool)
mintTokensEvent(uint256) returns(address,uint256,uint256,uint256,uint256)
decimals() returns(uint8)
mintTokensEventsCounter() returns(uint256)
tokensInEventsCounter() returns(uint256)
"""
