Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "transferFrom(address,address,uint256) returns(bool)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
changeOwner(address) returns()
KIMEX(address,address) returns()
fallback() returns()
loadFund() returns()
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
approve(address,uint256) returns(bool)
modifyWhiteList(address[],bool) returns(bool)
startICO() returns(bool)
endICO() returns(bool)
setICOPrice(uint256) returns(bool)
activate() returns()
deActivate() returns()
enableTokenTransfer() returns()
changeWallet(address) returns()
changeAdminAddress(address) returns()
changeFounderAddress(address) returns()
changeTeamAddress(address) returns()
allocateTokensForFounder() returns()
allocateTokensForTeam() returns()
allocateReservedTokens(address,uint256) returns()
allocateSalesTokens(address,uint256) returns()
allowance(address,address) returns(uint256)
balanceOf(address) returns(uint256)
getCurrentState() returns(uint256)
isSoftCapReached() returns(bool)
totalReservedTokenAllocation() returns(uint256)
totalLoadedRefund() returns(uint256)
totalSupply() returns(uint256)
decimals() returns(uint256)
founderAllocation() returns(uint256)
totalRemainingTokensForSales() returns(uint256)
symbol() returns(string)
salesAllocation() returns(uint256)
icoStandardPrice() returns(uint256)
teamAllocatedTime() returns(uint256)
adminAddress() returns(address)
isTransferable() returns(bool)
minInvestedCap() returns(uint256)
founderAddress() returns(address)
icoStartTime() returns(uint256)
totalRefundedAmount() returns(uint256)
walletAddress() returns(address)
teamAllocation() returns(uint256)
whiteList(address) returns(bool)
isSelling() returns(bool)
founderAllocatedTime() returns(uint256)
owner() returns(address)
reservedAllocation() returns(uint256)
totalInvestedAmountOf(address) returns(uint256)
inActive() returns(bool)
name() returns(string)
teamAddress() returns(address)
icoEndTime() returns(uint256)
minInvestedAmount() returns(uint256)
"""
