Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "symbol() returns(string)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
balanceOf(address) returns(uint256)
approve(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
GEIMCOIN() returns()
fallback() returns()
approveAndCall(address,uint256,bytes) returns(bool)
unitsOneEthCanBuy() returns(uint256)
totalSupply() returns(uint256)
fundsWallet() returns(address)
name() returns(string)
version() returns(string)
symbol() returns(string)
totalEthInWei() returns(uint256)
decimals() returns(uint8)
"""
