Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "symbol() returns(string)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
mint(address,uint256) returns(bool)
finishMinting() returns(bool)
transferOwnership(address) returns()
transferFrom(address,address,uint256) returns()
approve(address,uint256) returns()
allowance(address,address) returns(uint256)
transfer(address,uint256) returns()
balanceOf(address) returns(uint256)
pause() returns(bool)
unpause() returns(bool)
mintTimelocked(address,uint256,uint256) returns(TokenTimelock)
owner() returns(address)
totalSupply() returns(uint256)
name() returns(string)
decimals() returns(uint256)
paused() returns(bool)
symbol() returns(string)
mintingFinished() returns(bool)
"""
