Given only the Solidity interfaces of a smart contract. 
Check whether the given interfaces contain the interface: "totalSupply() returns(uint256)" and parameter types and return types are matched?
Reply in "YES" or "NO".

Solidity interfaces:"""
constructor() returns()
transfer(address,uint256) returns(bool)
transferFrom(address,address,uint256) returns(bool)
transferAndCall(address,uint256,bytes) returns(bool)
transferAllAndCall(address,bytes) returns(bool)
addAdmin(address) returns(bool)
removeAdmin(address) returns(bool)
changeMinExchangeAmount(uint256) returns(bool)
addToCanMint(address) returns(bool)
removeFromCanMint(address) returns(bool)
addToCanTransferFromContract(address) returns(bool)
removeFromCanTransferFromContract(address) returns(bool)
addToCanBurn(address) returns(bool)
removeFromCanBurn(address) returns(bool)
mintTokens(uint256,uint256) returns(bool)
mintAndTransfer(uint256,uint256,address) returns(bool)
burnTokens(uint256,uint256,uint256) returns(bool)
isAdmin(address) returns(bool)
balanceOf(address) returns(uint256)
totalSupply() returns(uint256)
symbol() returns(string)
canBurn(address) returns(bool)
burnTokensEventsCounter() returns(uint256)
tokensInEventsCounter() returns(uint256)
burnTokensEvents(uint256) returns(address,uint256,uint256,uint256,uint256,uint256)
allowance(address,address) returns(uint256)
decimals() returns(uint8)
tokensInTransfer(uint256) returns(address,uint256,uint256)
fiatInPaymentIds(uint256) returns(bool)
canMint(address) returns(bool)
canTransferFromContract(address) returns(bool)
fiatOutPaymentIdsUsed(uint256) returns(bool)
mintTokensEventsCounter() returns(uint256)
mintTokensEvent(uint256) returns(address,uint256,uint256,uint256,uint256)
name() returns(string)
fiatInPaymentsToMintTokensEvent(uint256) returns(address,uint256,uint256,uint256,uint256)
"""
