Given a solidity code from a smart contract and a ERC rule.
Whether the code violates the given ERC rule? Reply in "YES" or "NO".

Code:"""
constructor() returns()
getWallet(address) returns(address,bool)
setAccount(address) returns(bool)
balanceOf(address) returns(uint256)
transfer(address,uint256) returns(bool)
allowance(address,address) returns(uint256)
transferFrom(address,address,uint256) returns(bool)
approve(address,uint256) returns(bool)
mint(uint256) returns(bool)
burn(uint256) returns(bool)
lockAccount(address) returns(bool)
unlockAccount(address) returns(bool)
reduceToken(address,uint256) returns(bool)
symbol() returns(string)
totalSupply() returns(uint256)
decimals() returns(uint256)
name() returns(string)
owner() returns(address)
"""

Rule:"""
approve(address,uint256) returns(bool)
"""
